0,basic,1.0,1.968,508.15,1.968,1898.13,small,large
1,basic,10.0,0.316,3160.73,3.164,11806.42,large,large
2,basic,100.0,0.238,4204.47,23.784,15705.18,large,large
3,basic,11.0,0.301,3320.45,3.313,12403.05,large,large
4,basic,12.0,0.28,3570.15,3.361,13335.78,large,large
5,basic,13.0,0.269,3721.58,3.493,13901.41,large,large
6,basic,14.0,0.264,3794.92,3.689,14175.37,large,large
7,basic,15.0,0.256,3898.89,3.847,14563.74,large,large
8,basic,16.0,0.281,3559.62,4.495,13296.43,large,large
9,basic,17.0,0.255,3926.26,4.33,14665.98,large,large
10,basic,18.0,0.253,3954.23,4.552,14770.42,large,large
11,basic,19.0,0.254,3936.16,4.827,14702.92,large,large
12,basic,2.0,1.059,944.66,2.117,3528.65,small,large
13,basic,20.0,0.253,3953.79,5.058,14768.79,large,large
14,basic,21.0,0.251,3988.51,5.265,14898.5,large,large
15,basic,22.0,0.25,3994.71,5.507,14921.65,large,large
16,basic,23.0,0.251,3985.91,5.77,14888.76,large,large
17,basic,24.0,0.249,4023.84,5.964,15030.45,large,large
18,basic,25.0,0.248,4036.49,6.193,15077.71,large,large
19,basic,26.0,0.246,4063.08,6.399,15177.01,large,large
20,basic,27.0,0.249,4012.2,6.729,14986.97,large,large
21,basic,28.0,0.246,4072.9,6.875,15213.73,large,large
22,basic,29.0,0.243,4107.69,7.06,15343.66,large,large
23,basic,3.0,0.74,1351.61,2.22,5048.73,medium,large
24,basic,30.0,0.244,4094.13,7.328,15293.02,large,large
25,basic,31.0,0.246,4068.03,7.62,15195.54,large,large
26,basic,32.0,0.243,4109.41,7.787,15350.09,large,large
27,basic,33.0,0.244,4093.96,8.061,15292.4,large,large
28,basic,34.0,0.243,4114.53,8.263,15369.22,large,large
29,basic,35.0,0.247,4054.05,8.633,15143.3,large,large
30,basic,36.0,0.253,3956.67,9.099,14779.54,large,large
31,basic,37.0,0.254,3943.02,9.384,14728.55,large,large
32,basic,38.0,0.238,4206.15,9.034,15711.46,large,large
33,basic,39.0,0.24,4171.15,9.35,15580.71,large,large
34,basic,4.0,0.59,1695.19,2.36,6332.12,micro,large
35,basic,40.0,0.24,4160.29,9.615,15540.14,large,large
36,basic,41.0,0.237,4211.16,9.736,15730.18,large,large
37,basic,42.0,0.235,4246.28,9.891,15861.37,large,large
38,basic,43.0,0.24,4169.48,10.313,15574.48,large,large
39,basic,44.0,0.238,4197.4,10.483,15678.75,large,large
40,basic,45.0,0.236,4236.5,10.622,15824.81,large,large
41,basic,46.0,0.234,4267.25,10.78,15939.68,large,large
42,basic,47.0,0.236,4232.48,11.105,15809.81,large,large
43,basic,48.0,0.264,3793.02,12.655,14168.27,large,large
44,basic,49.0,0.249,4018.92,12.192,15012.08,large,large
45,basic,5.0,0.494,2025.53,2.468,7566.05,large,large
46,basic,50.0,0.237,4224.24,11.836,15779.02,large,large
47,basic,51.0,0.237,4223.49,12.075,15776.22,large,large
48,basic,52.0,0.238,4199.26,12.383,15685.73,large,large
49,basic,53.0,0.237,4222.1,12.553,15771.03,large,large
50,basic,54.0,0.234,4279.59,12.618,15985.79,large,large
51,basic,55.0,0.235,4259.87,12.911,15912.11,large,large
52,basic,56.0,0.236,4245.76,13.19,15859.41,large,large
53,basic,57.0,0.235,4250.8,13.409,15878.22,large,large
54,basic,58.0,0.232,4308.51,13.462,16093.79,large,large
55,basic,59.0,0.235,4258.85,13.853,15908.31,large,large
56,basic,6.0,0.423,2361.77,2.54,8822.05,large,large
57,basic,60.0,0.235,4256.68,14.095,15900.19,large,large
58,basic,61.0,0.233,4290.91,14.216,16028.04,large,large
59,basic,62.0,0.235,4250.89,14.585,15878.56,large,large
60,basic,63.0,0.233,4284.23,14.705,16003.12,large,large
61,basic,64.0,0.235,4261.83,15.017,15919.43,large,large
62,basic,65.0,0.235,4261.52,15.253,15918.28,large,large
63,basic,66.0,0.232,4304.11,15.334,16077.37,large,large
64,basic,67.0,0.236,4244.0,15.787,15852.82,large,large
65,basic,68.0,0.241,4143.26,16.412,15476.52,large,large
66,basic,69.0,0.236,4233.04,16.3,15811.88,large,large
67,basic,7.0,0.385,2594.23,2.698,9690.36,large,large
68,basic,70.0,0.237,4227.94,16.557,15792.83,large,large
69,basic,71.0,0.236,4242.34,16.736,15846.63,large,large
70,basic,72.0,0.24,4159.47,17.31,15537.1,large,large
71,basic,73.0,0.236,4243.58,17.202,15851.27,large,large
72,basic,74.0,0.239,4191.33,17.656,15656.07,large,large
73,basic,75.0,0.235,4250.63,17.644,15877.61,large,large
74,basic,76.0,0.234,4270.46,17.797,15951.66,large,large
75,basic,77.0,0.243,4117.28,18.702,15379.48,large,large
76,basic,78.0,0.252,3975.89,19.618,14851.35,large,large
77,basic,79.0,0.237,4218.89,18.725,15759.05,large,large
78,basic,8.0,0.347,2877.98,2.78,10750.26,large,large
79,basic,80.0,0.24,4173.22,19.17,15588.45,large,large
80,basic,81.0,0.248,4028.47,20.107,15047.76,large,large
81,basic,82.0,0.237,4227.17,19.398,15789.96,large,large
82,basic,83.0,0.238,4195.53,19.783,15671.77,large,large
83,basic,84.0,0.234,4272.13,19.662,15957.93,large,large
84,basic,85.0,0.25,3999.95,21.25,14941.23,large,large
85,basic,86.0,0.235,4253.36,20.219,15887.81,large,large
86,basic,87.0,0.234,4265.79,20.395,15934.24,large,large
87,basic,88.0,0.238,4195.83,20.973,15672.89,large,large
88,basic,89.0,0.235,4254.2,20.921,15890.92,large,large
89,basic,9.0,0.333,3006.22,2.994,11229.28,large,large
