filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate
micro_apache2_c_3_40,Apache/2.4.7,54.186.85.227,11510,40,0.089,100,0,1178300,1151000,1125.77,35.531,0.888,12954.06,micro
micro_apache2_c_3_50,Apache/2.4.7,54.186.85.227,11510,50,0.089,100,0,1178300,1151000,1125.61,44.421,0.888,12952.17,micro
micro_apache2_c_3_60,Apache/2.4.7,54.186.85.227,11510,60,0.102,100,0,1178300,1151000,984.79,60.926,1.015,11331.87,micro
micro_apache2_c_3_70,Apache/2.4.7,54.186.85.227,11510,70,0.092,100,0,1178300,1151000,1081.75,64.710,0.924,12447.49,micro
micro_apache2_c_3_80,Apache/2.4.7,54.186.85.227,11510,80,0.111,100,0,1178300,1151000,904.89,88.409,1.105,10412.39,micro
micro_apache2_c_3_90,Apache/2.4.7,54.186.85.227,11510,90,0.123,100,0,1178300,1151000,813.65,110.613,1.229,9362.53,micro
micro_lighttpd_c_1_10,lighttpd/1.4.33,54.186.85.227,3568,10,0.050,100,0,382600,356800,2004.93,4.988,0.499,7491.08,micro
micro_lighttpd_c_1_100,lighttpd/1.4.33,54.186.85.227,3568,100,0.053,100,0,382600,356800,1888.75,52.945,0.529,7057.00,micro
micro_lighttpd_c_1_20,lighttpd/1.4.33,54.186.85.227,3568,20,0.053,100,0,382600,356800,1896.81,10.544,0.527,7087.12,micro
micro_lighttpd_c_1_30,lighttpd/1.4.33,54.186.85.227,3568,30,0.049,100,0,382600,356800,2028.77,14.787,0.493,7580.14,micro
micro_lighttpd_c_1_40,lighttpd/1.4.33,54.186.85.227,3568,40,0.052,100,0,382600,356800,1908.72,20.956,0.524,7131.62,micro
micro_lighttpd_c_1_50,lighttpd/1.4.33,54.186.85.227,3568,50,0.054,100,0,382600,356800,1856.05,26.939,0.539,6934.79,micro
micro_lighttpd_c_1_60,lighttpd/1.4.33,54.186.85.227,3568,60,0.051,100,0,382600,356800,1978.00,30.334,0.506,7390.47,micro
micro_lighttpd_c_1_70,lighttpd/1.4.33,54.186.85.227,3568,70,0.057,100,0,382600,356800,1745.54,40.102,0.573,6521.89,micro
micro_lighttpd_c_1_80,lighttpd/1.4.33,54.186.85.227,3568,80,0.059,100,0,382600,356800,1699.99,47.059,0.588,6351.71,micro
micro_lighttpd_c_1_90,lighttpd/1.4.33,54.186.85.227,3568,90,0.065,100,0,382600,356800,1543.88,58.295,0.648,5768.43,micro
micro_lighttpd_c_2_10,lighttpd/1.4.33,54.186.85.227,3568,10,0.050,100,0,382600,356800,1996.96,5.008,0.501,7461.32,micro
micro_lighttpd_c_2_100,lighttpd/1.4.33,54.186.85.227,3568,100,0.053,100,0,382600,356800,1898.22,52.681,0.527,7092.36,micro
micro_lighttpd_c_2_20,lighttpd/1.4.33,54.186.85.227,3568,20,0.051,100,0,382600,356800,1965.91,10.173,0.509,7345.29,micro
micro_lighttpd_c_2_30,lighttpd/1.4.33,54.186.85.227,3568,30,0.049,100,0,382600,356800,2031.57,14.767,0.492,7590.61,micro
micro_lighttpd_c_2_40,lighttpd/1.4.33,54.186.85.227,3568,40,0.054,100,0,382600,356800,1838.74,21.754,0.544,6870.14,micro
micro_lighttpd_c_2_50,lighttpd/1.4.33,54.186.85.227,3568,50,0.048,100,0,382600,356800,2102.52,23.781,0.476,7855.70,micro
micro_lighttpd_c_2_60,lighttpd/1.4.33,54.186.85.227,3568,60,0.054,100,0,382600,356800,1862.34,32.218,0.537,6958.30,micro
micro_lighttpd_c_2_70,lighttpd/1.4.33,54.186.85.227,3568,70,0.069,100,0,382600,356800,1451.34,48.231,0.689,5422.67,micro
micro_lighttpd_c_2_80,lighttpd/1.4.33,54.186.85.227,3568,80,0.055,100,0,382600,356800,1830.30,43.709,0.546,6838.58,micro
micro_lighttpd_c_2_90,lighttpd/1.4.33,54.186.85.227,3568,90,0.059,100,0,382600,356800,1706.05,52.754,0.586,6374.35,micro
micro_lighttpd_c_3_10,lighttpd/1.4.33,54.186.85.227,3568,10,0.046,100,0,382600,356800,2153.69,4.643,0.464,8046.88,micro
micro_lighttpd_c_3_100,lighttpd/1.4.33,54.186.85.227,3568,100,0.049,100,0,382600,356800,2023.35,49.423,0.494,7559.90,micro
micro_lighttpd_c_3_20,lighttpd/1.4.33,54.186.85.227,3568,20,0.048,100,0,382600,356800,2090.08,9.569,0.478,7809.23,micro
micro_lighttpd_c_3_30,lighttpd/1.4.33,54.186.85.227,3568,30,0.047,100,0,382600,356800,2114.52,14.188,0.473,7900.55,micro
micro_lighttpd_c_3_40,lighttpd/1.4.33,54.186.85.227,3568,40,0.050,100,0,382600,356800,2014.06,19.860,0.497,7525.18,micro
micro_lighttpd_c_3_50,lighttpd/1.4.33,54.186.85.227,3568,50,0.046,100,0,382600,356800,2173.96,22.999,0.460,8122.63,micro
micro_lighttpd_c_3_60,lighttpd/1.4.33,54.186.85.227,3568,60,0.051,100,0,382600,356800,1967.03,30.503,0.508,7349.48,micro
micro_lighttpd_c_3_70,lighttpd/1.4.33,54.186.85.227,3568,70,0.053,100,0,382600,356800,1901.86,36.806,0.526,7105.99,micro
micro_lighttpd_c_3_80,lighttpd/1.4.33,54.186.85.227,3568,80,0.058,100,0,382600,356800,1716.50,46.606,0.583,6413.42,micro
micro_lighttpd_c_3_90,lighttpd/1.4.33,54.186.85.227,3568,90,0.058,100,0,382600,356800,1726.55,52.127,0.579,6450.95,micro
micro_nginx_c_1_10,nginx/1.4.6,54.186.85.227,612,10,0.039,100,0,85300,61200,2573.34,3.886,0.389,2143.61,micro
micro_nginx_c_1_100,nginx/1.4.6,54.186.85.227,612,100,0.040,100,0,85300,61200,2500.25,39.996,0.400,2082.73,micro
micro_nginx_c_1_20,nginx/1.4.6,54.186.85.227,612,20,0.035,100,0,85300,61200,2859.27,6.995,0.350,2381.79,micro
micro_nginx_c_1_30,nginx/1.4.6,54.186.85.227,612,30,0.038,100,0,85300,61200,2635.25,11.384,0.379,2195.19,micro
micro_nginx_c_1_40,nginx/1.4.6,54.186.85.227,612,40,0.039,100,0,85300,61200,2569.97,15.564,0.389,2140.80,micro
micro_nginx_c_1_50,nginx/1.4.6,54.186.85.227,612,50,0.034,100,0,85300,61200,2910.70,17.178,0.344,2424.64,micro
