filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
small2670_apache2_c_480,Apache/2.4.7,52.38.234.213,11510,480,10.188,10000,0,117830000,115100000,981.59,489.003,1.019,11294.98,small2670
small2670_apache2_c_490,Apache/2.4.7,52.38.234.213,11510,490,10.194,10000,0,117830000,115100000,981.01,499.488,1.019,11288.26,small2670
small2670_apache2_c_50,Apache/2.4.7,52.38.234.213,11510,50,10.491,10000,0,117830000,115100000,953.23,52.453,1.049,10968.62,small2670
small2670_apache2_c_500,Apache/2.4.7,52.38.234.213,11510,500,10.226,10000,0,117830000,115100000,977.86,511.320,1.023,11252.09,small2670
small2670_apache2_c_510,Apache/2.4.7,52.38.234.213,11510,510,10.327,10000,0,117830000,115100000,968.30,526.699,1.033,11142.01,small2670
small2670_apache2_c_520,Apache/2.4.7,52.38.234.213,11510,520,9.854,10000,0,117830000,115100000,1014.85,512.391,0.985,11677.71,small2670
small2670_apache2_c_530,Apache/2.4.7,52.38.234.213,11510,530,10.803,10000,0,117830000,115100000,925.70,572.541,1.080,10651.86,small2670
small2670_apache2_c_540,Apache/2.4.7,52.38.234.213,11510,540,11.009,10000,0,117830000,115100000,908.38,594.467,1.101,10452.55,small2670
small2670_apache2_c_550,Apache/2.4.7,52.38.234.213,11510,550,10.346,10000,0,117830000,115100000,966.51,569.055,1.035,11121.52,small2670
small2670_apache2_c_560,Apache/2.4.7,52.38.234.213,11510,560,10.529,10000,0,117830000,115100000,949.76,589.623,1.053,10928.73,small2670
small2670_apache2_c_570,Apache/2.4.7,52.38.234.213,11510,570,10.317,10000,0,117830000,115100000,969.29,588.058,1.032,11153.48,small2670
small2670_apache2_c_580,Apache/2.4.7,52.38.234.213,11510,580,9.822,10000,0,117830000,115100000,1018.13,569.671,0.982,11715.47,small2670
small2670_apache2_c_590,Apache/2.4.7,52.38.234.213,11510,590,9.653,10000,0,117830000,115100000,1035.93,569.539,0.965,11920.23,small2670
small2670_apache2_c_60,Apache/2.4.7,52.38.234.213,11510,60,11.563,10000,0,117830000,115100000,864.84,69.377,1.156,9951.57,small2670
small2670_apache2_c_600,Apache/2.4.7,52.38.234.213,11510,600,11.464,10000,0,117830000,115100000,872.32,687.822,1.146,10037.62,small2670
small2670_apache2_c_610,Apache/2.4.7,52.38.234.213,11510,610,10.725,10000,0,117830000,115100000,932.43,654.207,1.072,10729.29,small2670
small2670_apache2_c_620,Apache/2.4.7,52.38.234.213,11510,620,10.052,10000,0,117830000,115100000,994.85,623.210,1.005,11447.57,small2670
small2670_apache2_c_630,Apache/2.4.7,52.38.234.213,11510,630,10.295,10000,0,117830000,115100000,971.30,648.616,1.030,11176.58,small2670
small2670_apache2_c_640,Apache/2.4.7,52.38.234.213,11510,640,9.940,10000,0,117830000,115100000,1006.02,636.172,0.994,11576.07,small2670
small2670_apache2_c_650,Apache/2.4.7,52.38.234.213,11510,650,11.316,10000,0,117830000,115100000,883.74,735.508,1.132,10169.08,small2670
small2670_apache2_c_660,Apache/2.4.7,52.38.234.213,11510,660,11.521,10000,0,117830000,115100000,867.99,760.377,1.152,9987.83,small2670
small2670_apache2_c_670,Apache/2.4.7,52.38.234.213,11510,670,10.629,10000,0,117830000,115100000,940.86,712.112,1.063,10826.36,small2670
small2670_apache2_c_680,Apache/2.4.7,52.38.234.213,11510,680,9.961,10000,0,117830000,115100000,1003.94,677.334,0.996,11552.12,small2670
small2670_apache2_c_690,Apache/2.4.7,52.38.234.213,11510,690,11.495,10000,0,117830000,115100000,869.93,793.168,1.150,10010.13,small2670
small2670_apache2_c_70,Apache/2.4.7,52.38.234.213,11510,70,13.222,10000,0,117830000,115100000,756.31,92.555,1.322,8702.74,small2670
small2670_apache2_c_700,Apache/2.4.7,52.38.234.213,11510,700,10.489,10000,0,117830000,115100000,953.36,734.242,1.049,10970.21,small2670
small2670_apache2_c_710,Apache/2.4.7,52.38.234.213,11510,710,11.510,10000,0,117830000,115100000,868.78,817.239,1.151,9996.90,small2670
small2670_apache2_c_720,Apache/2.4.7,52.38.234.213,11510,720,10.365,10000,0,117830000,115100000,964.82,746.256,1.036,11101.98,small2670
