RF,MNB,BagMNB,DT,BagDT,LSVC,BagLSVC,SVC,BagSVC
79.82,58.67,58.43,71.19,75.13,49.33,49.69,71.00,68.56
2.094382942,0,1.702672303,10.73301854,6.134505212,1.019092122,2.393689739,0,3.73646613
